"method","R0_value","mean_rt_overall","median_rt_overall","sd_rt","bias","abs_bias","rmse"
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",1.5,1.45448199431418,1.45810903475285,0.0395376882540069,-0.0455180056858193,0.0455180056858193,0.0600890354740609
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
"ABM",2,1.72478016679905,1.81686645768738,0.253194628636171,-0.275219833200949,0.275219833200949,0.372628228342717
